Time Done Counter ack_out a_out_h a_out_l
1090993 0 316 1 0 0
1091375 0 316 0 10036545 413211755
1091377 0 318 1 0 0
1092401 0 318 0 10036546 3357782339
1092403 0 320 1 0 0
1093207 0 320 0 10036562 136711403
1093209 0 322 1 0 0
1095915 0 322 0 10037009 413412515
1095917 0 324 1 0 0
1098527 0 324 0 10037089 77761803
1098529 0 326 1 0 0
1098601 0 326 0 10037089 77769987
1098603 0 328 1 0 0
1102199 0 328 0 10038033 3627196740
1102201 0 330 1 0 0
1112037 0 330 0 10038289 3560087691
1112039 0 332 1 0 0
1115993 0 332 0 10038306 340864227
1115995 0 334 1 0 0
1122561 0 334 0 10038353 3357909093
1122563 0 336 1 0 0
1139399 0 336 0 10044250 1210229127
1139401 0 338 1 0 0
1144437 0 338 0 10044690 3527811175
1144439 0 340 1 0 0
1147043 0 340 0 10044730 3357942888
1147045 0 342 1 0 0
1147785 0 342 0 10044761 406063337
1147787 0 344 1 0 0
1148745 0 344 0 10044762 136717539
1148747 0 346 1 0 0
1149333 0 346 0 10044762 406920483
1149335 0 348 1 0 0
1149957 0 348 0 10044762 1210331239
1149959 0 350 1 0 0
1152233 0 350 0 10045203 272999525
1152235 0 352 1 0 0
1153433 0 352 0 10045218 3525484928
1153435 0 352 1 0 0
1153495 0 352 0 10045218 3525484931
1153497 0 354 1 0 0
1154079 0 354 0 10045219 110466306
1154081 0 356 1 0 0
1154307 0 356 0 10045219 304262403
1154309 0 358 1 0 0
1155355 0 358 0 10045272 3628340514
1155357 0 360 1 0 0
1156177 0 360 0 10045273 76722435
1156179 0 362 1 0 0
1157091 0 362 0 10046481 271951077
1157093 0 364 1 0 0
1157649 0 364 0 10046481 1184211079
1157651 0 366 1 0 0
1189197 0 366 0 10052449 3527480586
1189199 0 368 1 0 0
1196127 0 368 0 10052883 338928776
1196129 0 370 1 0 0
1199855 0 370 0 10052931 306257219
1199857 0 372 1 0 0
1200955 0 372 0 10052945 305536072
1200957 0 374 1 0 0
1201377 0 374 0 10052947 136580391
1201379 0 376 1 0 0
1203223 0 376 0 10052962 1210289480
1203225 0 378 1 0 0
1204157 0 378 0 10053393 412194120
1204159 0 380 1 0 0
1206727 0 380 0 10053456 3391235464
1206729 0 382 1 0 0
1207463 0 382 0 10053456 3525452165
1207465 0 384 1 0 0
1207775 0 384 0 10053457 72459656
1207777 0 386 1 0 0
1208789 0 386 0 10053459 71568553
1208791 0 388 1 0 0
1233213 0 388 0 10060610 3366095143
1233215 0 390 1 0 0
1240639 0 390 0 10061122 3332444455
1240641 0 392 1 0 0
1242927 0 392 0 10061586 3399623784
1242929 0 394 1 0 0
1244745 0 394 0 10061602 3525479690
1244747 0 396 1 0 0
1249833 0 396 0 10062097 1413849191
1249835 0 398 1 0 0
1250641 0 398 0 10062114 112270506
1250643 0 400 1 0 0
1259141 0 400 0 10062369 3333497001
1259143 0 402 1 0 0
1261269 0 402 0 10062393 78908585
1261271 0 404 1 0 0
1262157 0 404 0 10062400 3391464676
1262159 0 406 1 0 0
1270331 0 406 0 10241611 340896904
1270333 0 408 1 0 0
1271201 0 408 0 10241626 1220878437
1271203 0 410 1 0 0
1289287 0 410 0 10242843 307564744
1289289 0 412 1 0 0
1297913 0 412 0 10243098 1448415432
1297915 0 414 1 0 0
1317805 0 414 0 10258009 1421975625
1317807 0 416 1 0 0
1318539 0 416 0 10258018 1446152458
1318541 0 418 1 0 0
1325043 0 418 0 10258521 1411592480
1325045 0 418 1 0 0
1325573 0 418 0 10258522 1179726150
1325575 0 420 1 0 0
1331393 0 420 0 10258970 1448161480
1331395 0 422 1 0 0
1333385 0 422 0 10259008 2519937317
1333387 0 424 1 0 0
