=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.10.20 18:57:10 =~=~=~=~=~=~=~=~=~=~=~=
Time Done Counter ack_out a_out_2 a_out_1 a_out_0
1758735 0 368 1 0 0 0
1761527 0 368 0 0 303656273 1149350121
1761529 0 370 1 0 0 0
1781511 0 370 0 0 303663379 1312137541
1781513 0 372 1 0 0 0
1784837 0 372 0 0 303663448 3391367591
1784839 0 374 1 0 0 0
1787641 0 374 0 0 303663451 1244932322
1787643 0 376 1 0 0 0
1787975 0 376 0 0 303663451 1252072552
1787977 0 378 1 0 0 0
1790597 0 378 0 0 303663465 1149607018
1790599 0 380 1 0 0 0
1792133 0 380 0 0 303663633 1389470055
1792135 0 382 1 0 0 0
1836261 0 382 0 0 303852875 203789578
1836263 0 384 1 0 0 0
1845517 0 384 0 0 303868435 1446254892
1845519 0 386 1 0 0 0
1856499 0 386 0 0 303899179 1446195528
1856501 0 388 1 0 0 0
1876195 0 388 0 0 303901723 1285625192
1876197 0 390 1 0 0 0
1881337 0 390 0 0 303901978 374413644
1881339 0 392 1 0 0 0
1881565 0 392 0 0 303901978 374413644
1881567 0 392 1 0 0 0
1882199 0 392 0 0 303901978 2351273228
1882201 0 394 1 0 0 0
1885345 0 394 0 0 303907417 2260997545
1885347 0 396 1 0 0 0
1888111 0 396 0 0 303907434 113452389
1888113 0 398 1 0 0 0
1893963 0 398 0 0 303907690 180427113
1893965 0 400 1 0 0 0
1905195 0 400 0 0 303909913 2518947241
1905197 0 402 1 0 0 0
1905919 0 402 0 0 303909914 438510949
1905921 0 404 1 0 0 0
1908939 0 404 0 0 303909960 2587042149
1908941 0 406 1 0 0 0
1914945 0 406 0 0 303910163 308385128
1914947 0 408 1 0 0 0
1916005 0 408 0 0 303910169 2462127371
1916007 0 410 1 0 0 0
1917283 0 410 0 0 303910184 2462261355
1917285 0 412 1 0 0 0
1920955 0 412 0 0 303910219 170236163
1920957 0 414 1 0 0 0
1948463 0 414 0 0 303917152 2587042986
1948465 0 416 1 0 0 0
1955333 0 416 0 0 303918379 305334600
1955335 0 418 1 0 0 0
1968855 0 418 0 0 303924058 170305737
1968857 0 420 1 0 0 0
1977047 0 420 0 0 303924827 1244932169
1977049 0 422 1 0 0 0
1980947 0 422 0 0 303925275 1378003147
1980949 0 424 1 0 0 0
1981203 0 424 0 0 303925275 1381050571
1981205 0 426 1 0 0 0
1990365 0 426 0 0 303925785 2521900456
1990367 0 428 1 0 0 0
1991807 0 428 0 0 303925787 1381239142
1991809 0 430 1 0 0 0
1994817 0 430 0 0 303925803 1446254665
1994819 0 432 1 0 0 0
1995259 0 432 0 0 303925864 2324008137
1995261 0 434 1 0 0 0
1996369 0 434 0 0 303925865 1183156425
1996371 0 436 1 0 0 0
2027199 0 436 0 0 304114450 2362618151
2027201 0 438 1 0 0 0
2071375 0 438 0 0 304130920 3468764362
2071377 0 440 1 0 0 0
2081857 0 440 0 0 304169528 3604128972
2081859 0 442 1 0 0 0
2099069 0 442 0 0 304172057 2228593893
2099071 0 444 1 0 0 0
2100513 0 444 0 0 304172088 2530419813
2100515 0 446 1 0 0 0
2110707 0 446 0 0 304172313 1388513639
2110709 0 448 1 0 0 0
2111791 0 448 0 0 304172313 2462127339
2111793 0 450 1 0 0 0
2112251 0 450 0 0 304172313 2524000425
2112253 0 452 1 0 0 0
2113317 0 452 0 0 304172344 2519934124
2113319 0 454 1 0 0 0
2114283 0 454 0 0 304172344 3596690604
2114285 0 456 1 0 0 0
2133705 0 456 0 0 304178017 2463175914
2133707 0 458 1 0 0 0
2138481 0 458 0 0 304179552 3396413862
2138483 0 460 1 0 0 0
2153183 0 460 0 0 304180560 3401881671
2153185 0 462 1 0 0 0
2153579 0 462 0 0 304180560 3435432103
2153581 0 464 1 0 0 0
2157797 0 464 0 0 304185914 3426134185
2157799 0 466 1 0 0 0
2163003 0 466 0 0 304186170 3295062185
2163005 0 468 1 0 0 0
2164095 0 468 0 0 304186171 1449207977
2164097 0 470 1 0 0 0
2165007 0 470 0 0 304186185 2228591786
2165009 0 472 1 0 0 0
2165331 0 472 0 0 304186186 3293817254
2165333 0 474 1 0 0 0
2169819 0 474 0 0 304187665 1449240999
2169821 0 476 1 0 0 0
2170757 0 476 0 0 304187667 1312135493
2170759 0 478 1 0 0 0
2173139 0 478 0 0 304187673 2225511595
2173141 0 480 1 0 0 0
2184981 0 480 0 0 304194385 2521903399
2184983 0 482 1 0 0 0
2189927 0 482 0 0 304195896 3596686668
2189929 0 484 1 0 0 0
2212439 0 484 0 0 304375888 2589176011
2212441 0 486 1 0 0 0
2216951 0 486 0 0 304376376 2555814091
2216953 0 488 1 0 0 0
2249057 0 488 0 0 304392211 114534603
2249059 0 490 1 0 0 0
2252737 0 490 0 0 304392296 3626215627
2252739 0 492 1 0 0 0
2258467 0 492 0 0 304392809 2227408139
2258469 0 494 1 0 0 0
2259677 0 494 0 0 304392810 3295779084
2259679 0 496 1 0 0 0
2261963 0 496 0 0 304392810 3435366659
2261965 0 498 1 0 0 0
2264271 0 498 0 0 304393296 3458638027
2264273 0 500 1 0 0 0
2265179 0 500 0 0 304393296 3663989095
2265181 0 502 1 0 0 0
2268119 0 502 0 0 304393553 2227408139
2268121 0 504 1 0 0 0
2272915 0 504 0 0 304407120 3665998027
2272917 0 506 1 0 0 0
2277829 0 506 0 0 304407146 408004811
2277831 0 508 1 0 0 0
2295173 0 508 0 0 304409680 2589040843
2295175 0 510 1 0 0 0
2298017 0 510 0 0 304409875 210080874
2298019 0 512 1 0 0 0
2304947 0 512 0 0 304409944 2359399692
2304949 0 514 1 0 0 0
2309845 0 514 0 0 304439864 3632698694
2309847 0 516 1 0 0 0
2319915 0 516 0 0 304440145 2586030341
2319917 0 518 1 0 0 0
2321779 0 518 0 0 304440850 2329152748
2321781 0 520 1 0 0 0
2322761 0 520 0 0 304440851 176590151
2322763 0 522 1 0 0 0
2323651 0 522 0 0 304440858 2589198572
2323653 0 524 1 0 0 0
2324367 0 524 0 0 304440859 74885381
2324369 0 526 1 0 0 0
2339421 0 526 0 0 304442667 74553610
2339423 0 528 1 0 0 0
2351669 0 528 0 0 304448058 3665988934
