=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.11.02 18:38:43 =~=~=~=~=~=~=~=~=~=~=~=
13-queens problem:
Solutions: 1986.  
Solutions: 2054.  
Solutions: 2154.  
Solutions: 2286.  
Solutions: 2490.  
Solutions: 2578.  
Solutions: 2662.  
Solutions: 2808.  
Solutions: 2982.  
Solutions: 3110.  
Solutions: 3238.  
Solutions: 3334.  
Solutions: 3460.  
Solutions: 3650.  
Solutions: 3838.  
Solutions: 3924.  
Solutions: 4022.  
Solutions: 4142.  
Solutions: 4316.  
Solutions: 4466.  
Solutions: 4600.  
Solutions: 4632.  
Solutions: 4696.  
Solutions: 4790.  
Solutions: 4886.  
Solutions: 4986.  
Solutions: 5028.  
Solutions: 5088.  
Solutions: 5178.  
Solutions: 5298.  
Solutions: 5386.  
Solutions: 5440.  
Solutions: 5466.  
Solutions: 5502.  
Solutions: 5524.  
Solutions: 5578.  
Solutions: 5708.  
Solutions: 5884.  
Solutions: 6016.  
Solutions: 6152.  
Solutions: 6246.  
Solutions: 6304.  
Solutions: 6442.  
Solutions: 6568.  
Solutions: 6724.  
Solutions: 6824.  
Solutions: 6918.  
Solutions: 6994.  
Solutions: 7076.  
Solutions: 7264.  
Solutions: 7478.  
Solutions: 7672.  
Solutions: 7812.  
Solutions: 7896.  
Solutions: 8008.  
Solutions: 8206.  
Solutions: 8428.  
Solutions: 8604.  
Solutions: 8798.  
Solutions: 8902.  
Solutions: 9010.  
Solutions: 9206.  
Solutions: 9392.  
Solutions: 9512.  
Solutions: 9668.  
Solutions: 9806.  
Solutions: 9872.  
Solutions: 9972.  
Solutions: 10118.  
Solutions: 10310.  
Solutions: 10470.  
Solutions: 10574.  
Solutions: 10640.  
Solutions: 10772.  
Solutions: 10928.  
Solutions: 11176.  
Solutions: 11402.  
Solutions: 11514.  
Solutions: 11604.  
Solutions: 11658.  
Solutions: 11810.  
Solutions: 11970.  
Solutions: 12074.  
Solutions: 12186.  
Solutions: 12284.  
Solutions: 12306.  
Solutions: 12408.  
Solutions: 12516.  
Solutions: 12628.  
Solutions: 12724.  
Solutions: 12812.  
Solutions: 12896.  
Solutions: 12990.  
Solutions: 13052.  
Solutions: 13108.  
Solutions: 13152.  
Solutions: 13226.  
Solutions: 13290.  
Solutions: 13384.  
Solutions: 13444.  
Solutions: 13486.  
Solutions: 13676.  
Solutions: 13904.  
Solutions: 14162.  
Solutions: 14386.  
Solutions: 14522.  
Solutions: 14676.  
Solutions: 14834.  
Solutions: 15074.  
Solutions: 15280.  
Solutions: 15486.  
Solutions: 15684.  
Solutions: 15862.  
Solutions: 15992.  
Solutions: 16176.  
Solutions: 16424.  
Solutions: 16622.  
Solutions: 16848.  
Solutions: 17030.  
Solutions: 17202.  
Solutions: 17368.  
Solutions: 17708.  
Solutions: 18016.  
Solutions: 18322.  
Solutions: 18544.  
Solutions: 18820.  
Solutions: 18992.  
Solutions: 19154.  
Solutions: 19458.  
Solutions: 19734.  
Solutions: 19900.  
Solutions: 20036.  
Solutions: 20202.  
Solutions: 20300.  
Solutions: 20486.  
Solutions: 20720.  
Solutions: 21070.  
Solutions: 21280.  
Solutions: 21412.  
Solutions: 21534.  
Solutions: 21612.  
Solutions: 21740.  
Solutions: 21960.  
Solutions: 22148.  
Solutions: 22356.  
Solutions: 22550.  
Solutions: 22658.  
Solutions: 22724.  
Solutions: 22886.  
Solutions: 23028.  
Solutions: 23222.  
Solutions: 23344.  
Solutions: 23478.  
Solutions: 23594.  
Solutions: 23646.  
Solutions: 23766.  
Solutions: 23942.  
Solutions: 24038.  
Solutions: 24110.  
Solutions: 24180.  
Solutions: 24258.  
Solutions: 24360.  
Solutions: 24486.  
Solutions: 24600.  
Solutions: 24686.  
Solutions: 24730.  
Solutions: 24870.  
Solutions: 24984.  
Solutions: 25122.  
Solutions: 25236.  
Solutions: 25332.  
Solutions: 25422.  
Solutions: 25574.  
Solutions: 25854.  
Solutions: 26132.  
Solutions: 26440.  
Solutions: 26638.  
Solutions: 26874.  
Solutions: 27006.  
Solutions: 27236.  
Solutions: 27524.  
Solutions: 27816.  
Solutions: 28072.  
Solutions: 28288.  
Solutions: 28452.  
Solutions: 28650.  
Solutions: 28920.  
Solutions: 29228.  
Solutions: 29484.  
Solutions: 29692.  
Solutions: 29950.  
Solutions: 30196.  
Solutions: 30380.  
Solutions: 30650.  
Solutions: 30952.  
Solutions: 31252.  
Solutions: 31446.  
Solutions: 31652.  
Solutions: 31854.  
Solutions: 32020.  
Solutions: 32240.  
Solutions: 32520.  
Solutions: 32768.  
Solutions: 32902.  
Solutions: 33058.  
Solutions: 33192.  
Solutions: 33316.  
Solutions: 33496.  
Solutions: 33706.  
Solutions: 33902.  
Solutions: 34112.  
Solutions: 34178.  
Solutions: 34274.  
Solutions: 34452.  
Solutions: 34660.  
Solutions: 34856.  
Solutions: 35052.  
Solutions: 35224.  
Solutions: 35326.  
Solutions: 35402.  
Solutions: 35636.  
Solutions: 35856.  
Solutions: 36022.  
Solutions: 36128.  
Solutions: 36232.  
Solutions: 36336.  
Solutions: 36538.  
Solutions: 36758.  
Solutions: 36898.  
Solutions: 37008.  
Solutions: 37070.  
Solutions: 37208.  
Solutions: 37390.  
Solutions: 37552.  
Solutions: 37740.  
Solutions: 37884.  
Solutions: 37996.  
Solutions: 38088.  
Solutions: 38156.  
Solutions: 38410.  
Solutions: 38642.  
Solutions: 38840.  
Solutions: 38992.  
Solutions: 39162.  
Solutions: 39328.  
Solutions: 39542.  
Solutions: 39938.  
Solutions: 40368.  
Solutions: 40726.  
Solutions: 41018.  
Solutions: 41296.  
Solutions: 41484.  
Solutions: 41716.  
Solutions: 42108.  
Solutions: 42470.  
Solutions: 42796.  
Solutions: 43072.  
Solutions: 43386.  
Solutions: 43594.  
Solutions: 43782.  
Solutions: 44052.  
Solutions: 44428.  
Solutions: 44668.  
Solutions: 44880.  
Solutions: 45128.  
Solutions: 45374.  
Solutions: 45672.  
Solutions: 46002.  
Solutions: 46422.  
Solutions: 46742.  
Solutions: 46970.  
Solutions: 47220.  
Solutions: 47336.  
Solutions: 47496.  
Solutions: 47670.  
Solutions: 47944.  
Solutions: 48256.  
Solutions: 48478.  
Solutions: 48576.  
Solutions: 48644.  
Solutions: 48790.  
Solutions: 48956.  
Solutions: 49168.  
Solutions: 49432.  
Solutions: 49664.  
Solutions: 49844.  
Solutions: 49920.  
Solutions: 50012.  
Solutions: 50266.  
Solutions: 50504.  
Solutions: 50706.  
Solutions: 50846.  
Solutions: 50946.  
Solutions: 51090.  
Solutions: 51300.  
Solutions: 51510.  
Solutions: 51692.  
Solutions: 51814.  
Solutions: 51906.  
Solutions: 52060.  
Solutions: 52302.  
Solutions: 52510.  
Solutions: 52736.  
Solutions: 52916.  
Solutions: 53040.  
Solutions: 53190.  
Solutions: 53270.  
Solutions: 53528.  
Solutions: 53770.  
Solutions: 53976.  
Solutions: 54192.  
Solutions: 54366.  
Solutions: 54534.  
Solutions: 54690.  
Solutions: 54798.  
Solutions: 55114.  
Solutions: 55462.  
Solutions: 55704.  
Solutions: 55950.  
Solutions: 56228.  
Solutions: 56468.  
Solutions: 56712.  
Solutions: 57090.  
Solutions: 57448.  
Solutions: 57684.  
Solutions: 57982.  
Solutions: 58266.  
Solutions: 58484.  
Solutions: 58784.  
Solutions: 59150.  
Solutions: 59474.  
Solutions: 59648.  
Solutions: 59852.  
Solutions: 60092.  
Solutions: 60340.  
Solutions: 60624.  
Solutions: 60968.  
Solutions: 61370.  
Solutions: 61556.  
Solutions: 61770.  
Solutions: 62022.  
Solutions: 62234.  
Solutions: 62398.  
Solutions: 62654.  
Solutions: 62906.  
Solutions: 63212.  
Solutions: 63400.  
Solutions: 63532.  
Solutions: 63642.  
Solutions: 63744.  
Solutions: 63972.  
Solutions: 64186.  
Solutions: 64388.  
Solutions: 64554.  
Solutions: 64702.  
Solutions: 64782.  
Solutions: 64876.  
Solutions: 65074.  
Solutions: 65268.  
Solutions: 65426.  
Solutions: 65570.  
Solutions: 65666.  
Solutions: 65727.  
Solutions: 65797.  
Solutions: 65898.  
Solutions: 66012.  
Solutions: 66092.  
Solutions: 66149.  
Solutions: 66190.  
Solutions: 66290.  
Solutions: 66416.  
Solutions: 66513.  
Solutions: 66634.  
Solutions: 66746.  
Solutions: 66833.  
Solutions: 66918.  
Solutions: 66988.  
Solutions: 67108.  
Solutions: 67249.  
Solutions: 67365.  
Solutions: 67504.  
Solutions: 67589.  
Solutions: 67683.  
Solutions: 67775.  
Solutions: 67870.  
Solutions: 68009.  
Solutions: 68213.  
Solutions: 68376.  
Solutions: 68522.  
Solutions: 68648.  
Solutions: 68779.  
Solutions: 68889.  
Solutions: 68993.  
Solutions: 69201.  
Solutions: 69369.  
Solutions: 69491.  
Solutions: 69610.  
Solutions: 69783.  
Solutions: 69909.  
Solutions: 70020.  
Solutions: 70184.  
Solutions: 70386.  
Solutions: 70514.  
Solutions: 70610.  
Solutions: 70741.  
Solutions: 70871.  
Solutions: 71015.  
Solutions: 71176.  
Solutions: 71367.  
Solutions: 71528.  
Solutions: 71606.  
Solutions: 71719.  
Solutions: 71812.  
Solutions: 71901.  
Solutions: 72034.  
Solutions: 72145.  
Solutions: 72290.  
Solutions: 72420.  
Solutions: 72479.  
Solutions: 72572.  
Solutions: 72661.  
Solutions: 72758.  
Solutions: 72869.  
Solutions: 72972.  
Solutions: 73097.  
Solutions: 73197.  
Solutions: 73257.  
Solutions: 73315.  
Solutions: 73394.  
Solutions: 73488.  
Solutions: 73603.  
Solutions: 73675.  
Solutions: 73738.  
Solutions: 73740.  
Processing time: 0.818957 seconds. 
13-queens problem:
Solutions: 73760.  
Processing time: 0.817222 seconds. 
13-queens problem:
Solutions: 73753.  
Processing time: 0.817231 seconds. 
13-queens problem:
Solutions: 73724.  
Processing time: 8.185967 seconds. 
13-queens problem:
Solutions: 73724.  
Processing time: 8.185967 seconds. 
13-queens problem:
Solutions: 73724.  
Processing time: 8.185967 seconds. 
13-queens problem:
Solutions: 73724.  
Processing time: 8.185967 seconds. 
